scheme_key,scheme_code,scheme_name,status,records,latest_date,latest_nav,file
hdfc_top100,125497,HDFC Top 100 Direct Growth,FAILED,,,,
sbi_bluechip,119551,SBI Bluechip Direct Growth,SUCCESS,3284.0,2026-08-07,107.0971,data\raw\nav_sbi_bluechip.csv
icici_bluechip,120503,ICICI Pru Bluechip Direct Growth,SUCCESS,3355.0,2026-08-07,112.7941,data\raw\nav_icici_bluechip.csv
nippon_largecap,118632,Nippon India Large Cap Direct Growth,SUCCESS,3346.0,2026-08-07,102.763,data\raw\nav_nippon_largecap.csv
axis_bluechip,119092,Axis Bluechip Direct Growth,SUCCESS,3613.0,2026-08-07,6263.5512,data\raw\nav_axis_bluechip.csv
kotak_bluechip,120841,Kotak Bluechip Direct Growth,SUCCESS,3349.0,2026-08-07,255.9932,data\raw\nav_kotak_bluechip.csv
